10	The plaintiff was badly injured in a threecar accident and suffered $100,000 worth of damages. The trier of fact determined that the plaintiff was 30% at fault, the defendant was 30% at fault, and the third driver was 40% at fault. How much can the plaintiff recover from the defendant?
11	Blackacre was a tract of 100 acres retained by Byron, the owner, after he had developed the adjoining 400 acres as a residential subdivision. Byron had effectively imposed restrictive covenants on each lot in the 400 acres. Chaney offered Byron a good price for a five-acre tract located in a corner of Blackacre far away from the existing 400-acre residential subdivision. Byron conveyed the fiveacre tract to Chaney and imposed the same restrictive covenants on the five-acre tract as he had imposed on the lots in the adjoining 400 acres. Byron further covenanted that when he sold the remaining 95 acres of Blackacre he would impose the same restrictive covenants in the deed or deeds for the 95 acres. Byron's conveyance to Chaney was promptly and properly recorded. However, shortly thereafter, Byron conveyed the remaining 95 acres to Dart for $100,000 by a deed that made no mention of any restrictive covenants. Dart had no actual knowledge of the restrictive covenants in Chaney's deed. Dart now proposes to build an industrial park which would violate such restrictive covenants if they are applicable. The recording act of the jurisdiction provides: "No conveyance or mortgage of real property shall be good against subsequent purchasers for value and without notice unless the same be recorded according to law." In an appropriate action by Chaney to enforce the restrictive covenants against Dart's 95-acre tract, if Dart wins it will be because
12	After a bomb explosion in an airport locker, a detective was told by a reliable informant that, three months before, the informant had been in a terrorist's apartment and saw what appeared to be some sticks of dynamite. Reasonably believing that the informant's information established probable cause, the detective prepared an affidavit for a search warrant. After the warrant was issued, the detective and a group of police raided the terrorist's apartment. No evidence connecting the terrorist with the bombing was discovered, but the police did discover several grams of cocaine during the search of the apartment. At his trial for possession of narcotics, the terrorist's motion to suppress the evidence would probably be:
13	House owns his home in City. On the lawn in front of his home and within five feet of the public sidewalk, there was a large tree. The roots of the tree caused the sidewalk to buckle severely and become dangerous. An ordinance of City requires adjacent landowners to keep sidewalks in safe condition. House engaged Contractor to repair the sidewalk, leaving it to Contractor to decide how the repair should be made. Contractor dug up the sidewalk, cut back the roots of the tree, and laid a new sidewalk. Two days after House had paid Contractor the agreed price of the repair, the tree fell over onto the street and damaged a parked car belonging to Driver. Driver has asserted claims against House and Contractor, and both defendants admit that cutting the roots caused the tree to fall. In the claim of Driver against Contractor, the best defense of Contractor is that
14	The defendant discovered that his friend had hit and killed a pedestrian while driving that afternoon, and that he had fled from the scene of the crime before the police arrived. To keep his friend out of trouble, the defendant fixed all the dents in the car caused by the collision and had the vehicle painted a different color. The friend, distraught about hitting and killing someone, eventually turned himself in and told the police what he had done and what the defendant had done for him. The defendant was charged as an accomplice to vehicular manslaughter in a state that follows the modern trend regarding accomplice liability. He should be found:
15	Auto Company. a corporation, was a small dealer in big new cars and operated a service department. Peter wanted to ask Mike, the service manager, whether Auto Company would check the muffler on his small foreign car. Peter parked on the street near the service department with the intention of entering that part of the building by walking through one of the three large entrances designed for use by automobiles. There was no street entrance to the service department for individuals, and customers as well as company employees often used one of the automobile entrances. As Peter reached the building, he glanced behind him to be sure no vehicle was approaching that entrance. Seeing none, he walked through the entrance, but immediately he was struck on the back of the head and neck by the large overhead door which was descending. The blow knocked Peter unconscious and caused permanent damage. Peter did not know how the door was raised and lowered: however, the overhead door was operated by the use of eitherof two switches in the building. One switch was located in the office of the service manager and the other was located near the door in the service work area for the convenience of the mechanics. On this occasion, no one was in the service work area except three Auto Company mechanics. Mike, who had been in his office, and the three mechanics denied having touched a switch that would have lowered the door. Subsequent investigation showed, however, that the switches were working properly and that all of the mechanisms for moving the door were in good working order. If Peter asserts a claim based on negligence against Auto Company, Peter probably will
16	A woman took her car in for scheduled maintenance. The mechanic certified that the car was in perfect working order. Later that day, the woman was driving beyond the posted speed limit when her brakes failed, causing her car to strike a pedestrian. If the pedestrian brings an action against the mechanic who certified the woman's car as operable, what will be the probable outcome?
17	Landco owns and operates a 12-story apartment building containing 72 apartments, 70 of which are rented. Walker has brought an action against Landco alleging that while he was walking along a public sidewalk adjacent to Landco's apartment building a flower pot fell from above and struck him on the shoulder, causing extensive injuries. The action was to recover damages for those injuries. If Walker proves the foregoing facts and offers no other evidence explaining the accident, will his claim survive a motion for directed verdict offered by the defense?
18	A locksmith knew that his friend had been having marital troubles. The friend had told the locksmith that he suspected his wife was having an affair with his rival. One afternoon, the friend, visibly upset, asked to borrow some of the locksmith's tools, telling him that he knew that his rival was going to meet up with his wife later that day. The locksmith gave his friend the tools, advising him not do anything that he would regret later. The friend stated that it would be others who would have regrets. The friend went to his rival's apartment and picked the door lock with the locksmith's tools. He found his wife and rival in bed together. The friend stabbed his rival, seriously wounding him. A few minutes later the locksmith called the apartment to try to warn the rival that his friend might come over. After the friend was arrested, he agreed to plead guilty to aggravated battery and attempted voluntary manslaughter in exchange for testifying against the locksmith, who was charged as an accomplice to attempted murder. Can the locksmith be convicted of that charge?
19	Daniel and a group of his friends are fanatical basketball fans who regularly meet at each others' homes to watch basketball games on television. Some of the group are fans of team A, and others are fans of team B. When the group has watched televised games between these two teams, fights sometimes have broken out among the group. Despite this fact, Daniel invited the group to his home to watch a championship game between teams A and B. During the game, Daniel's guests became rowdy and antagonistic. Fearing that they would begin to fight, and that a fight would damage his possessions, Daniel asked his guests to leave. They refused to go and soon began to fight. Daniel called the police, and Officer was sent to Daniel's home. Officer sustained a broken nose in his efforts to stop the fighting. Officer brought an action against Daniel alleging that Daniel was negligent in inviting the group to his house to watch this championship game. Daniel has moved to dismiss the complaint. The best argument in support of this motion would be that
20	A leading question is LEAST likely to be permitted over objection when
21	A statute of the state of Illitron declares that after five years of continuous service in their positions all state employees, including faculty members at the state university, are entitled to retain their positions during "good behavior." The statute also contains a number of procedural provisions. Any state employee who is dismissed after that five-year period must be given reasons for the dismissal before it takes effect. In addition, such an employee must, upon request, be granted a postdismissal hearing before an administrative board to seek reinstatement and back pay. The statute precludes any other hearing or opportunity to respond to the charges. That post-dismissal hearing must occur within six months after the dismissal takes effect. The burden of proof at such a hearing is on the state, and the board may uphold the dismissal only if it is supported by a preponderance of the evidence. An employee who is dissatisfied with a decision of the board after a hearing may appeal its decision to the state courts. The provisions of this statute are inseverable. A teacher who had been employed continuously for seven years as a faculty member at the state university was dismissed. A week before the dismissal took effect, she was informed that she was being dismissed because of a charge that she accepted a bribe from a student in return for raising the student's final grade in her course. At that time she requested an immediate hearing to contest the propriety of her dismissal. Three months after her dismissal, she was granted a hearing before the state administrative board. The board upheld her dismissal, finding that the charge against her was supported by a preponderance of the evidence presented at the hearing. The faculty member did not appeal the decision of the state administrative board to the Illitron state courts. Instead, she sought a declaratory judgment in federal district court to the effect that the state statute prescribing the procedures for her dismissal is unconstitutional. In this case, the federal district court should
22	A woman was stopped at a police roadblock to check for drunk drivers. The police were stopping every third vehicle that came through the checkpoint, and the woman's car turned out to be a third vehicle. After failing a field sobriety test, the woman was arrested and charged with driving while intoxicated. Was the stop of the woman's car legal?
23	Congress has enacted a law providing that all disagreements between the United States and a state over federal grant-in-aid funds shall be settled by the filing of a suit in the federal district court in the affected state. The law further provides: "The judgment of the federal court shall be transmitted to the head of the federal agency dispensing such funds, who, if satisfied that the judgment is fair and lawful, shall execute the judgment according to its terms." This law is:
24	A state statute requires that a person who is suspected of committing a crime must be informed of the nature of that crime before questioning may begin. The state supreme court has held that statements obtained in violation of a suspect's statutory rights may not be admitted into evidence. The defendant, who was arrested on suspicion of committing an arson, was told "You have the right to remain silent; anything you say can and will be used against you in a court of law; you have the right to the presence of an attorney during questioning; and if you cannot afford an attorney, one will be appointed for you." In response to questioning, the defendant gave a statement implicating himself in the arson. He was charged and brought to trial in state court for arson. At trial, should the statement be excluded from evidence?
25	A woman aboard an airplane informed a flight attendant that she had witnessed another passenger stealing several small bottles of alcohol from a serving cart. The flight attendant alerted the airline's private on-board security guard, dressed in plain clothes, who approached the passenger, displayed his gun, and demanded that the passenger step into a service area for further questioning. The accused passenger quickly complied. On further investigation, it was determined that the woman was mistaken, and what she had actually witnessed was another flight attendant from a different section of the plane getting more supplies for a serving cart. If the passenger sues the airline on the theory of assault, he likely will:
26	Owen held in fee simple Farmdale, a large tract of vacant land. The state wherein Farmdale is situated has a statute which provides, in substance, that unless the conveyance is recorded, every deed orother conveyance of an interest in land is void as to a subsequent purchaser who pays value without notice of such conveyance. The following transactions occurred in the order given. First: Owen conveyed Farmdale, for a fair price, to Allred by general warranty deed. Allred did not immediately record. Second: Owen executed a mortgage to secure repayment of a loan concurrently made to Owen by Leon. Leon had no notice of the prior conveyance to Allred and promptly duly recorded the mortgage. Third: Owen, by general warranty deed, gratuitously conveyed to Niece, who promptly duly recorded this deed. Fourth: Allred duly recorded his deed from Owen. Fifth: Niece, by general warranty deed, conveyed Farmdale to Barrett. Barrett had no actual notice of any of the prior transactions, paid full value, and promptly duly recorded the deed. Asserting that his title was held free of any claim by Leon, Allred instituted suit against Leon to quiet title to Farmdale. Judgment should be for
27	Davidson and Smythe were charged with burglary of a warehouse. They were tried separately. At Davidson's trial, Smythe testified that he saw Davidson commit the burglary. While Smythe is still subject to recall as a witness, Davidson calls Smythe's cellmate, Walton, to testify that Smythe said, "I broke into the warehouse alone because Davidson was too drunk to help." This evidence of Smythe's statement is
28	In which of the following situations is Defendant most likely to be guilty of larceny?
29	The key witness in the prosecution's case against the defendant is the only eyewitness to have seen the commission of the felony for which the defendant is being charged. The witness, a recent immigrant, has a total hearing impairment and is mute. In addition, the system of "signing" for the deaf is different in the witness's country of origin from the method used in the United States. The only person in the county conversant with the witness's signing method is a clerk in the county prosecutor's office. The clerk had assisted the police in their questioning of the witness prior to the defendant's arrest, and also when the witness identified the defendant in a lineup. Should the court allow the witness to testify using the clerk as an interpreter?
30	While Defendant was in jail on a procuring charge, his landlord called the police because rent had not been paid and because he detected a disagreeable odor coming from Defendant's apartment into the hallways. The police officer who responded to the call knew that Defendant was in jail. He recognized the stench coming from Defendant's apartment as that of decomposing flesh and, without waiting to obtain a warrant and using the landlord's passkey, entered the apartment with the landlord's consent. The lease to these premises gave the landlord a right of entry, at any reasonable hour, for the purpose of making repairs. The police officer found a large trunk in the bedroom which seemed to be the source of the odor. Upon breaking it open, he found the remains of Rosette, Defendant's former mistress. If Defendant undertakes to challenge the search of his apartment, he has
31	Sand Company operated an installation for distributing sand and gravel. The installation was adjacent to a residential area. On Sand's grounds there was a chute with polished metal sides for loading sand and gravel into trucks. The trucks being loaded stopped on the public street below the chute. After closing hours, a plywood screen was placed in the chute and the ladder used for inspection was removed to another section of the installation. For several months, however, a number of children, 8 to 10 years of age, had been playing on Sand's property and the adjoining street after closing hours. The children found the ladder and also discovered that they could remove the plywood screen from the chute and slide down to the street below. Sand knew of this activity. One evening, the children were using the chute as a play device. As an automobile driven by Commuter approached the chute, Ladd, an 8-year-old boy, slid down just in front of the automobile. Commuter applied her brakes, but they suddenly failed, and she hit and injured Ladd. Commuter saw the child in time to have avoided hitting him if her brakes had worked properly. Two days previously, Commuter had taken her car to Garage to have her brakes inspected. Garage inspected the brakes and told her that the brakes were in perfect working order. Claims were asserted on behalf of Ladd by his proper legal representative against Sand, Commuter, and Garage. On Ladd's claim against Commuter, Commuter's best defense is that
32	David built in his backyard a garage that encroached two feet across the property line onto property owned by his neighbor, Prudence. Thereafter, David sold his property to Drake. Prudence was unaware, prior to David's sale to Drake, of the encroachment of the garage onto her property. When she thereafter learned of the encroachment, she sued David for damages for trespass. In this action, will Prudence prevail?
33	Farquart had made a legally binding promise to furnish his son Junior and the latter's fiancee a house on their wedding day, planned for June 10, 1972. Pursuant to that promise, Farquart telephoned his old contractor-friend Sawtooth on May 1, 1971, and made the following oral agreementeach making full and accurate written notes thereof: Sawtooth was to cut 30 trees into fireplace logs from a specified portion of a certain one-acre plot owned by Farquart, and Farquart was to pay therefor S20 per tree. Sawtooth agreed further to build a house ,n the plot conforming to the specifications of Plan OP5 published by Builders, Inc. for a construction price of Sl8,000. Farquart agreed to make payments of $2,000 on the first of every month for nine months beginning August I, 1971, upon monthly presentation of a certificate by Builders. Inc. that the specifications of Plan OP5 were being met. Sawtooth delivered the cut logs to Farquart in July 1971, when he also began building the house. Farquart made three S2.,000 payments forthe work done in July, August, and September 1971, without requiring a certificate. Sawtooth worked through October, but no work was done from November 1, 1971. to the end of February 1972. because of bad weather: and Farquart made no payments during that period. Sawtooth did not object. On March 1, 1972, Sawtooth demanded payment of $2,000 but Farquart refused on the grounds that no construction work had been done for four months and Builders had issued no certificate. Sawtooth thereupon abandoned work and repudiated the agreement. Assuming that Sawtooth committed a total breach on March 1, 1972, and assuming further that he was aware when the agreement was made of the purpose for which Farquart wanted the completed house, which of the following, if true, would best support Farquart's claim for consequential damages on account of delay beyond June 10, 1972, in getting the house finished'?
34	Furrow leased in writing a 100-acre farm from Quark for five years at $2,000 per year, with an option to purchase "five acres of the land for $10,000 cash" at the end of the lease term. Before the lease was executed, Quark orally promised to have a five-acre parcel surveyed before the end of the lease term. Furrow took possession of the farm and paid the rent for five years. During the fifth year, having decided that he would exercise the purchase option, Furrow planted several fruit trees and built a large grain silo on the property. At the end of the term, Furrow tendered Quark $10,000 and demanded a conveyance, but Quark repudiated the option agreement and retook possession of the farm. He had never had the five-acre parcel surveyed. Assume for this question only that Quark is not liable to Furrow for breach of a land-sale contract. In an action by Furrow against Quark for the reasonable value of the improvements that Furrow added to the farm, which of the following theories would best support Furrow's claim?
35	A plaintiff sued a defendant for negligence when the tractor that he was driving at a construction site collided with the plaintiff's car. The plaintiff alleged that she was driving in a proper lane when the tractor collided with her car. The plaintiff's counsel called the responding police officer to testify that the defendant's employee made a statement to the police officer, in the defendant's presence, that the defendant "accidentally went too far into traffic," and the defendant did not say anything. The trial judge should rule that this evidence is:
36	A utility company working underground installed a guardrail around its access hole for safety. Although the guardrail completely surrounded the hole, there was an opening in one part of the rail to make it easier to pass down tools to those working below. The owner of a show dog living across the street from the utility access hole frequently walked his dog in his front yard without a leash. One afternoon, the dog unexpectedly chased a squirrel out of the dog owner's yard and ran through the opening of the guardrail, falling into the open hole and suffering broken bones and internal injuries. Although expert veterinary care saved the dog's life, the dog was no longer of "show quality" after the injuries. The dog owner brought a negligence claim against the utility company to recover his economic losses resulting from the injuries to his dog. At trial, the dog owner presented the above facts. The utility company presented uncontested evidence that the guardrail used by the company meets typical industry standards, and that the opening in the guardrail was not large enough for a person to have fallen through. At the close of the evidence, the utility company moved for a directed verdict.
37	A new college graduate entered into an oral agreement with a freshman to lease the freshman her mini-refrigerator for a term of four years. The freshman was to pay the graduate $20 a month, of which $10 of the monthly charge was to be paid directly to the graduate's parents, in satisfaction of a debt the graduate owed her parents. While the graduate was putting the agreement into writing she accidentally did not include the agreement to pay her parents directly. The freshman also failed to notice that the direct payment provision was missing before she signed the contract, which the graduate signed. If the parents bring an action against the freshman, which of the following will have the greatest effect on the outcome?
38	Paulsen was eating in a restaurant when he began to choke on a piece of food that had lodged in his throat. Dow, a physician who was sitting at a nearby table, did not wish to become involved and did not render any assistance, although prompt medical attention would have been effective in removing the obstruction from Paulsen's throat. Because of the failure to obtain prompt medical attention, Paulsen suffered severe brain injury from lack of oxygen. If Paulsen asserts a claim against Dow for his injuries, will Paulsen prevail?
39	While negligently driving his father's uninsured automobile, 25-year-old Arthur crashed into an automobile driven by Betty. Both Arthur and Betty were injured. Charles, Arthur's father, erroneously believing that he was liable because he owned the automobile, said to Betty: "I will see to it that you are reimbursed for any losses you incur as a result of the accident." Charles also called Physician and told him to take care of Betty, and that he, Charles, would pay the bill. Arthur, having no assets, died as a result of his injuries. Dodge, one of Arthur's creditors, wrote to Charles stating that Arthur owed him a clothing bill of $200 and that he was going to file a claim against Arthur's estate. Charles replied: "If you don't file a claim against Arthur's estate, I will pay what he owed you." If Physician discontinued treating Betty before she had fully recovered and Betty brought an action against Physician for breach of contract, which of the following arguments, if any, by Physician would probably be effective in defense? I. Betty furnished no consideration, either express or implied. II. Physician's contract was with Charles and not with Betty. III. Whatever contract Physician may have had with Betty was discharged by novation on account of the agreement with Charles.
40	Congress enacted a statute imposing an additional 2% national retail sales tax on all goods sold in the United States. The purpose of the tax was to fund unemployment payments during the recession. An association of newspaper and book publishers sued to remove the tax from newspaper and book publications, claiming that the tax placed an unconstitutional burden on the freedom of speech and press. Assuming that the association has standing, it:
41	Alice entered into a contract with Paul by the terms of which Paul was to paint Alice's office for $1,000 and was required to do all of the work over the following weekend so as to avoid disruption of Alice's business. For this question only, assume the following facts. If Paul had started to paint on the following Saturday morning, he could have finished before Sunday evening. However, he stayed home that Saturday morning to watch the final game of the World Series on TV, and did not start to paint until Saturday afternoon. By late Saturday afternoon, Paul realized that he had underestimated the time it would take to finish the job if he continued to work alone. Paul phoned Alice at her home and accurately informed her that it was impossible to finish the work over the weekend unless he hired a helper. He also stated that to do so would require an additional charge of $200 for the work. Alice told Paul that she apparently had no choice but to pay "whatever it takes" to get the work done as scheduled. Paul hired Ted to help finish the painting and paid Ted $200. Alice has offered to pay Paul $1,000. Paul is demanding $1,200. How much is Paul likely to recover?
42	Defendant was tried for robbery. Victim Worth were the only witnesses called to.t tify. Victim testified that Defend; threatened her with a knife, grabbed her pur and ran off with it. Worth testified that hes Defendant grab Victim's purse and run av with it but that he neither saw a knife nor he any threats. On this evidence the jury co properly return a verdict of guilty of
43	Company designed and built a processing plant for the manufacture of an explosive chemical. Engineer was retained by Company to design a filter system for the processing plant. She prepared an application for a permit to build the plant's filter system and submitted it to the state's Department of Environmental Protection (DEP). As required by DEP regulations, Engineer submitted a blueprint to the DEP with the application for permit. The blueprint showed the entire facility and was signed and sealed by her as a licensed professional engineer. After the project was completed, a portion of the processing plant exploded, injuring Plaintiff. During discovery in an action by Plaintiff against Engineer, it was established that the explosion was caused by a design defect in the processing plant that was unrelated to the filter system designed by Engineer. In that action, will Plaintiff prevail?
44	A state suffering from a severe loss of tax revenues, due to an initiative that cut state sales taxes in half, enacted legislation that ended cost-of-living increases in all state employees' pensions. A state organization of employees brought suit against the appropriate state official in the federal court to reinstate the increase. The most likely result will be that:
45	A man was arrested in a state for armed robbery. A combined preliminary hearing to determine probable cause and initial appearance was held within 20 hours of his arrest. Probable cause was found, and bail was properly denied under the state's Bail Reform Act. A state statute provided that when a defendant is in custody, his trial must begin within 50 days of his arrest. After 50 days had passed since the man's arrest and no trial had been held, he filed a motion for dismissal for violation of his right to a speedy trial under the state constitution, which tracked verbatim the speedy trial provision of the United States Constitution. The trial judge held that he was bound to follow federal interpretations of the speedy trial provision and granted the man's motion on that basis. On appeal, the state supreme court agreed with the trial judge. The state prosecutor seeks to challenge the ruling in the United States Supreme Court. If the Supreme Court thinks that the state court wrongly decided that the man was denied his right to a speedy trial under federal standards, it should:
46	A brother and sister, Bruce and Sharon, acquired as joint tenants a twenty-acre parcel of land called Greenacre. They contributed equally to the purchase price. Several years later, Bruce proposed that they build an apartment development on Greenacre. Sharon rejected the proposal but orally agreed with Bruce that Bruce could go ahead on his own on the northerly half of Greenacre and Sharon could do what she wished with the southerly half of Greenacre. Bruce proceeded to build an apartment development on, and generally developed and improved, the northerly ten acres of Greenacre. Sharon orally permitted the southerly ten acres of Greenacre to be used by the Audubon Society as a nature preserve. Bruce died, leaving his entire estate to his son, Stanley. The will named Sharon as executrix of his will, but she refused so to serve. In an appropriate action to determine the respective interests of Sharon and Stanley in Greenacre, if Stanley is adjudged to be the owner of the northerly ten acres of Greenacre, the most likely reason for the judgment will be that
47	Buyer mailed a signed order to Seller that read: "Please ship us 10,000 widgets at your current price." Seller received the order on January 7 and that same day mailed to Buyer a properly stamped, addressed, and signed letter stating that the order was accepted at Seller's current price of $10 per widget. On January 8, before receipt of Seller's letter, Buyer telephoned Seller and said, "I hereby revoke my order." Seller protested to no avail. Buyer received Seller's letter on January 9. Because of Buyer's January 8 telephone message, Seller never shipped the goods. Under the relevant and prevailing rules, is there a contract between Buyer and Seller as of January 10?
48	The State of Yuma provides by statute, ''No person may be awarded any state construction contract without agreeing to employ only citizens of the state and of the United States in performance of the contract.' In evaluating the constitutionality of this state statute under the supremacy clause, which of the following would be most directly relevant?
49	A statute in a jurisdiction makes it a crime to sell ammunition to a minor (defined as a person under the age of eighteen). The courts have interpreted this statute as creating a strict liability offense that does not require knowledge of the age of the purchaser and as creating vicarious liability. Duncan, who was sixteen years old, but looked four or five years older, entered a store owned by Matthews and asked a clerk for a box of .22 caliber shells. Matthews had instructed her employees not to sell ammunition to minors. The clerk asked Duncan his age. Duncan said he was twenty. The clerk then placed a box of shells on the counter and asked, "Anything else?" Duncan said that was all he wanted but then discovered he did not have enough money to pay for the shells, so the clerk put the box back onto the shelf. If Matthews, the owner of the store, is charged with attempting to violate the statute, her best argument would be that
50	To protect the minor children living in the area, a town council enacted an ordinance that prohibited advertisements that include a depiction of a nude person, whether male or female. The owner of a local video rental shop often posts large posters to advertise movies he has available for rent. A substantial part of his business consists of the rental of adult movies, which are kept in a separate part of the shop. In the adult room he hangs movie advertisements, many of them depicting nude or partially nude people. He does not allow minors to enter the adult room. If the owner challenges enforcement of the ordinance against him, how will the court most likely rule?
51	A high school graduate was asked by his elderly aunt to live with her in her large brownstone and attend to the household activities for the rest of her life, in exchange for the house. The graduate agreed, and moved from his parents' home to the brownstone. For eight years, he attended to his aunt's personal needs, and maintained the household. No further discussion was ever had between the graduate and his aunt regarding conveyance of the brownstone. Shortly after his aunt died, the graduate was contacted by the aunt's estranged daughter, who stated that in the aunt's last will and testament, she had devised the house to her. When the graduate refused to vacate the brownstone, the daughter brought action for possession of the house. If the graduate prevails in the action, it will be because:
52	A car owner was having problems with her car's brakes. The brake shop to which she brought her car told her that the entire hydraulic brake system needed to be replaced at a cost of $1,800. The car owner agreed to have the work performed, and the shop replaced the brake system. When the car owner picked up the car, she insisted on testing the brakes before paying for the work. During a test drive, the brakes squeaked when compressed but otherwise worked perfectly. The mechanic told the car owner that the squeak would disappear on its own in a few days. The car owner stated that she would pay the shop when the squeak disappeared and left with her car. A month later, the brakes still squeaked and the car owner refused to pay for the work. The shop files suit to collect the $1,800 contract price.
